web_name,price,position,team,avg_points_per_game,expected_points,xG,xA,fixture,image_url
Mings,4.4,DEF,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p149484.png
Nedeljkovic,4.0,DEF,AVL,1.0,0.0,0.00,0.02,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p578545.png
Olsen,4.5,GK,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p111782.png
Pau,4.5,DEF,AVL,2.0,3.0,0.12,0.13,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p244954.png
Ramsey,5.4,MID,AVL,2.6,2.3,0.54,1.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p232653.png
Rogers,5.4,MID,AVL,4.2,5.3,1.49,1.34,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p244850.png
Tielemans,5.5,MID,AVL,3.8,4.3,0.29,1.92,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p166989.png
Watkins,9.1,FWD,AVL,6.1,7.0,3.97,0.33,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p178301.png
Onana,5.1,MID,AVL,3.9,1.3,1.11,0.16,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p449871.png
Jaden,5.3,MID,AVL,0.6,0.7,0.23,0.05,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p481624.png
Bogarde,4.0,DEF,AVL,1.0,0.0,0.00,0.08,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p515597.png
Swinkels,4.0,DEF,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p514287.png
Zych,4.0,GK,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p516159.png
Young,4.5,MID,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p537403.png
Aarons,4.3,DEF,BOU,0.0,-1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p232980.png
Adams,4.9,MID,BOU,0.0,-1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p200785.png
Brooks,4.9,MID,BOU,1.0,-0.7,0.00,0.26,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p111317.png
Christie,4.9,MID,BOU,2.2,2.3,0.37,0.21,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p158499.png
Cook,5.0,MID,BOU,3.4,4.0,0.33,1.30,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p155408.png
Enes Ünal,5.4,FWD,BOU,1.0,0.0,0.56,0.06,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p168636.png
Hill,4.0,DEF,BOU,0.0,-1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p463981.png
Kerkez,4.4,DEF,BOU,2.1,1.7,0.16,0.24,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p544877.png
Kluivert,5.3,MID,BOU,2.9,3.3,1.53,0.56,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p222683.png
O.Dango,5.0,MID,BOU,2.9,3.0,1.61,0.87,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p533463.png
Philip,4.8,MID,BOU,1.0,-1.0,0.00,0.09,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p168991.png
Scott,4.8,MID,BOU,1.4,0.7,0.12,0.17,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p503139.png
Semenyo,5.6,MID,BOU,4.1,2.7,2.76,1.56,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p437730.png
Senesi,4.8,DEF,BOU,2.5,3.0,0.12,0.30,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p221466.png
Sinisterra,5.0,MID,BOU,2.4,0.0,1.09,0.91,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p224995.png
Smith,4.5,DEF,BOU,1.9,0.7,0.00,0.02,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p54469.png
Tavernier,5.5,MID,BOU,3.4,2.0,2.42,0.91,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p201658.png
Travers,4.4,GK,BOU,2.0,-1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p229600.png
Zabarnyi,4.4,DEF,BOU,2.2,2.3,0.30,0.08,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p477580.png
Arrizabalaga,4.5,GK,BOU,3.4,2.3,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p109745.png
Huijsen,4.4,DEF,BOU,1.0,-1.0,0.04,0.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p554605.png
J.Araujo,4.4,DEF,BOU,1.2,-0.7,0.00,0.04,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p436893.png
Dennis,4.0,GK,BOU,0.0,-1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p444172.png
Evanilson,5.9,FWD,BOU,3.1,4.3,2.50,0.59,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p444102.png
Ajer,4.5,DEF,BRE,0.9,0.7,0.28,0.10,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p191866.png
Brierley,4.5,MID,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p494041.png
Collins,4.5,DEF,BRE,3.2,4.3,1.24,0.33,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p432830.png
Damsgaard,5.0,MID,BRE,3.4,6.0,0.40,1.44,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p440089.png
Dasilva,4.8,MID,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p183656.png
Flekken,4.5,GK,BRE,2.9,2.7,0.00,0.02,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p118342.png
Henry,4.3,DEF,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p194010.png
Hickey,4.4,DEF,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p472713.png
Janelt,4.9,MID,BRE,2.4,2.7,0.17,0.55,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p204580.png
Jensen,5.3,MID,BRE,3.0,0.0,0.10,0.46,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p207283.png
Ji-soo,3.9,DEF,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p570241.png
Konak,4.5,MID,BRE,1.0,0.7,0.15,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p628204.png
Lewis-Potter,5.0,MID,BRE,2.4,2.7,0.42,0.69,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p249231.png
Mbeumo,7.6,MID,BRE,6.6,6.3,2.88,2.03,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p446008.png
Mee,4.3,DEF,BRE,1.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p51927.png
Nørgaard,4.8,MID,BRE,2.5,2.7,0.78,0.12,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p128295.png
Pinnock,4.5,DEF,BRE,2.5,5.3,0.84,0.19,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p231065.png
Roerslev,4.4,DEF,BRE,1.1,0.7,0.01,0.22,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p226956.png
Schade,5.3,MID,BRE,2.0,1.7,1.05,0.06,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p513418.png
Thiago,5.9,FWD,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p502500.png
Valdimarsson,4.0,GK,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p507433.png
Wissa,5.9,FWD,BRE,5.8,0.1,2.43,0.28,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p216646.png
Yarmoliuk,4.4,MID,BRE,1.0,0.7,0.08,0.05,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p508395.png
Carvalho,4.8,MID,BRE,2.4,4.3,1.15,0.43,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p244858.png
Van den Berg,4.0,DEF,BRE,1.2,1.3,0.23,0.28,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p444765.png
Trevitt,4.5,MID,BRE,1.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p591357.png
G.Nunes,4.9,MID,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p626464.png
Meghoma,4.0,DEF,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p499717.png
Yogane,4.5,MID,BRE,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p592662.png
Adingra,5.4,MID,BHA,2.8,0.0,0.32,0.65,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p535818.png
Baleba,5.0,MID,BHA,3.4,4.3,0.75,0.14,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p535301.png
Dunk,4.5,DEF,BHA,2.8,2.0,0.25,0.29,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p83299.png
Enciso,5.4,MID,BHA,1.0,1.0,0.17,0.16,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p474120.png
Estupiñan,5.0,DEF,BHA,0.6,0.3,0.06,0.35,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p204214.png
Ferguson,5.5,FWD,BHA,1.0,0.7,0.11,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p487117.png
Hinshelwood,5.0,MID,BHA,3.1,2.0,0.39,0.66,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p532529.png
Igor,4.4,DEF,BHA,2.3,2.3,0.05,0.02,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p223434.png
João Pedro,5.4,FWD,BHA,4.8,0.0,0.90,0.26,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p475168.png
Lamptey,4.4,DEF,BHA,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p232792.png
March,6.5,MID,BHA,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p109345.png
